TIME,27.7576,30.2811,32.8045,35.3279,37.8513,40.3748,42.8982,45.4216,47.945,50.4684,52.9919,55.5153,58.0387,60.5621,63.0856,65.609,68.1324,70.6558,73.1792,75.7027,78.2261,80.7495,83.2729,85.7964,88.3198,90.8432,93.3666,95.89,98.4135,100.937,103.46,105.984,108.507,111.031,113.554,116.077,118.601,121.124,123.648,126.171,128.695,131.218,133.741,136.265,138.788,141.312,143.835,146.358,148.882,151.405,153.929,156.452,158.976,161.499,164.022,166.546,169.069,171.593,174.116,176.64,179.163,181.686,184.21,186.733,189.257,191.78,194.304,196.827,199.35,201.874,204.397,206.921,209.444,211.967,214.491,217.014,219.538,222.061,224.585,227.108,229.631,232.155,234.678,237.202,239.725,242.249,244.772,247.295,249.819,252.342,254.866,257.389,259.912,262.436,264.959,267.483,270.006,272.53,275.053,277.576,280.1,282.623,285.147,287.67,290.194,292.717,295.24,297.764,300.287,302.811,305.334,307.858,310.381,312.904,315.428,317.951,320.475,322.998,325.521,328.045,330.568,333.092,335.615,338.139,340.662,343.185,345.709,348.232,350.756,353.279,355.803,358.326,360.849,363.373,365.896,368.42,370.943,373.466,375.99,378.513,381.037,383.56,386.084,388.607,391.13,393.654,396.177,398.701,401.224,403.748,406.271,408.794,411.318,413.841,416.365,418.888,421.411,423.935,426.458,428.982,431.505,434.029,436.552,439.075,441.599,444.122,446.646,449.169,451.693,454.216,456.739,459.263,461.786,464.31,466.833,469.357,471.88,474.403,476.927,479.45,481.974
0.000000000,1207.34,826.441,1115.81,1152.54,887.564,959.253,1131.4,1368.94,1427.86,1162.56,1016.85,1021.78,1060,1020.98,1044.37,1261.21,1430.05,1579.97,1469.64,1118.7,981.526,893.302,947.536,1124.73,934.268,871.612,1384.33,1632.59,1130.03,714.661,972.879,1174.08,1001.05,1067.44,1181.21,1251.44,1673.55,1703.83,1006.89,705.236,1055.88,1085,870.053,1096.21,1345.72,1386.72,1382.41,1143.41,935.071,992.849,983.479,757.115,765.428,1231.1,1418.96,1160.75,1132.98,1181.34,1031.95,971.029,1025.61,1119.05,1189.95,1323.28,1492.37,1294.56,984.592,919.111,912.198,864.074,838.155,1058.74,1174.02,1049.4,1263.93,1313.43,935.853,809.494,890.119,1021.32,1046.37,1009.61,1219.78,1221.89,1102.6,1102.86,876.685,903.108,990.769,936.066,1454.4,1691.71,1254.63,1009.81,944.004,975.836,845.775,645.312,763.251,755.288,992.649,1517.38,1309.84,948.913,1096.33,1136.97,879.235,700.273,979.926,1254.15,1042.85,972.021,1061.92,1013.68,1044.82,953.169,782.029,887.804,1196.3,1292.1,1020.85,889.566,951.047,889.266,837.947,754.876,693.626,894.974,1173,1221.08,1002.07,911.907,1071.09,984.479,754.243,792.481,916.603,1020.02,1167.01,1199.02,961.446,726.164,859.228,951.47,676.216,603.41,960.083,1163.89,1021.74,981.969,975.18,824.607,843.933,778.093,557.001,771.846,1176.39,1168.45,900.493,858.357,1008.18,976.18,889.089,761.154,600.688,926.258,1252.59,892.146,600.007,816.91,939.338,698.582,566.775,738.191,809.775,916.867,1091.43,940.531,772.202,757.643,799.501
1.486077098,1366.36,660.654,1307.89,1301.25,791.838,1041.75,1124.94,1485.55,1637.88,1130.37,1060.6,1018.24,1108.99,1063.96,988.367,1396.46,1453.41,1737.96,1667.56,1064.49,1047.64,887.933,927.412,1301.99,949.763,781.797,1577.44,1962.41,1209.36,599.866,1038.68,1356.18,941.506,1108.77,1287.82,1173.65,1918.43,2042.51,995.329,594.995,1185.11,1221.85,754.773,1193.49,1475.68,1423.49,1572.2,1182,913.865,1052.3,1063.27,758.754,678.594,1410.39,1643.56,1130.68,1176.65,1299.18,1020.36,990.771,1044.04,1153.54,1255.66,1330.31,1703.66,1403.51,935.49,979.182,904.73,921.314,795.375,1117.18,1376.95,950.631,1418.69,1562.43,863.583,841.941,885.888,1074.15,1153.66,935.083,1372.48,1335.55,1045.91,1282.09,825.256,891.261,1166.67,755.054,1723.1,2062.5,1184.41,1104.25,915.251,1048,969.168,523.033,893.12,725.685,960.399,1942.24,1422.39,858.651,1222.68,1222.94,918.216,623.796,1014.31,1505.08,1017.37,973.07,1185.98,974.626,1154.4,1005.41,738.543,902.399,1282.81,1511.14,1030.06,873.802,1062.5,885.03,891.051,782.862,646.215,941.429,1277.51,1362,1032.9,869.514,1197.71,1070.88,696.603,818.092,949.081,1048.9,1263.39,1313.99,1040.33,658.457,907.544,1115.13,650.432,547.952,1057.82,1343.22,1042.07,1005.73,1107.94,782.572,899.943,881.724,459.428,803.908,1350.46,1292.29,901.172,831.848,1123.78,1024.76,904.847,844.417,502.515,995.872,1589.36,927.064,522.206,897.269,1066.83,732.351,493.177,830.53,837.811,909.808,1307.28,962.68,767.846,803.885,781.538
2.972154195,1387.17,385.091,1384.95,1310.81,548.863,1020.42,920.942,1399.59,1661.64,897.7,974.756,854.44,994.673,986.541,749.966,1394.29,1212.21,1670.31,1665.83,823.689,984.933,756.523,758.763,1339.04,825.335,578.423,1563.41,2071.54,1116.1,407.288,957.213,1403.67,713.991,1009.81,1233.45,887.955,1936.79,2156.77,837.846,405.457,1165.77,1234.51,504.76,1159.03,1403.17,1213.91,1582.53,1036.44,756.108,963.534,980.435,673.896,475.83,1440.01,1652.59,923.141,1042.76,1260.56,833.161,881.904,899.878,1016.74,1151.13,1112.36,1699.6,1346.34,713.868,938.553,728.641,876.085,622.326,1015.16,1453.51,673.134,1419.09,1669.45,623.807,786.123,734.578,969.634,1132.66,685.161,1378.34,1280.38,804.055,1329.34,669.18,740.931,1287.7,417.988,1887.94,2238.8,877.428,1094.24,728.797,976.337,1023.52,298.308,969.757,600.308,804.279,2226.02,1340.2,628.182,1209.06,1111.86,837.929,452.893,914.327,1601.77,836.812,826.002,1191.72,744.638,1144.29,907.289,585.28,788.214,1167.33,1559.71,884.741,720.341,1055.28,723.533,831.946,699.86,500.435,855.703,1194.36,1311.44,922.824,679.855,1179.04,1014.12,527.936,732.773,844.076,911.632,1189.54,1222.52,992.102,481.935,839.876,1153.21,527.257,415.487,1014.13,1346.05,911.429,858.214,1132.88,596.431,849.444,886.172,294.949,735.25,1354.28,1218.11,784.064,661.6,1110.69,913.756,780.291,828.951,333.08,940.916,1806.08,828.261,377.081,851.443,1049.62,673.649,340.116,826.669,760.278,737.24,1419.46,821.202,658.471,747.204,624.243
4.458231293,1286.42,129.119,1338.21,1197.5,267.244,905.969,600.525,1150.67,1493.98,561.592,794.748,591.533,770.533,817.041,435.41,1264.1,797.269,1427.25,1450.46,508.617,808.28,556.789,524.741,1207.21,627.313,334.351,1358.67,1917.28,898.201,216.026,740.715,1341.56,395.245,840.416,1004.21,527.561,1734.12,2036.5,586.961,198.118,1045.67,1101.42,245.799,989.664,1180.68,831.737,1420.81,763.077,516.116,768.179,754.171,541.456,245.916,1315.54,1448.61,616.975,781.225,1087.38,534.723,701.854,624.661,781.992,890.225,767.398,1481.57,1169.27,422.351,797.93,470.155,728.807,398.346,800.554,1381.44,351.505,1273.66,1639.22,312.63,678.774,479.895,759.107,979.254,367.309,1276.16,1072,507.595,1192.06,502.727,527.664,1344.03,111.444,1930.64,2195.11,470.421,988.341,466.063,800.368,1002.39,88.4925,984.847,452.204,621.904,2292.67,1107.58,361.481,1048.99,859.335,656.621,260.657,743.444,1500.88,588.323,579.428,1104.71,409.544,1044.48,685.057,385.913,588.694,882.537,1443.4,633.188,510.414,910.741,484.846,679.337,541.841,322.968,648.592,977.115,1065.23,727.837,414.868,1024.49,839.453,311.05,572.505,634.223,664.367,967.606,962.319,828.787,272.766,694.992,1050.37,359.886,253.477,848.647,1173.12,675.58,607.565,1033.3,356.78,726.884,790.835,139.849,573.656,1218.84,945.179,611.188,412.425,976.239,688.495,554.034,732.158,158.515,811.088,1824.96,664.695,225.159,685.729,905.104,538.178,179.792,716.618,626.833,475.896,1409.12,578.071,487.869,610.938,391.939
5.944308390,1131.6,4.68746,1179.94,1012.12,55.621,760.664,281.005,795.206,1232.46,234.593,575.04,342.691,492.889,634.551,191.423,992.731,408.691,1099.71,1082.82,259.456,542.444,390.563,350.607,889.234,462.042,148.821,990.488,1602.28,610.2,82.3896,506.106,1138.25,153.272,672.424,639.306,252.443,1401.51,1753.36,343.241,36.2203,860.571,894.981,48.6108,763.301,889.068,386.291,1217.55,420.748,262.997,578.152,420.719,436.949,101.863,1012.09,1168,292.382,478.569,856.481,225.212,520.29,326.961,499.461,585.561,414.338,1108.88,984.953,176.023,598.217,245.973,490.754,220.004,594.816,1136.11,135.923,1062.94,1482.11,87.5875,520.553,226.485,545.753,686.33,140.773,1140.43,806.345,303.898,849.949,425.273,420.783,1242.1,6.02018,1917.22,1923.45,166.273,789.774,238.299,641.937,853.54,0.76392,999.959,327.915,486.557,2145.4,816.799,173.318,769.636,566.516,451.796,108.29,571.191,1242.84,345.138,354.904,922.453,120.531,932.934,391.813,213.631,385.258,496.861,1254.14,356.02,300.026,704.096,241.746,483.753,385.619,161.908,393.35,723.687,672.329,547.514,177.355,754.707,640.436,105.176,393.353,410.659,352.813,718.309,609.858,584.139,134.928,513.112,860.061,215.767,97.5518,628.735,897.839,390.871,385.189,799.957,177.439,620.645,608.895,43.3332,398.797,961.573,594.697,429.454,177.241,786.742,410.911,303.177,604.23,44.309,652.2,1642.48,516.612,133.752,445.644,674.112,392.292,54.463,539.146,493.705,227.947,1330.8,313.862,290.312,474.367,163.002
7.430385488,945.646,76.7408,953.438,774.677,12.5488,646.047,56.9732,421.838,996.846,32.0558,348.927,186.6,273.365,484.235,85.3656,674.717,161.579,769.163,748.64,115.83,274.478,358.116,318.05,472.442,374.051,97.2399,564.902,1218.85,363.885,16.8026,317.224,873.562,61.724,508.152,323.628,112.099,1028.66,1594.22,152.265,32.2226,628.69,708.328,21.4441,497.816,660.262,63.8613,1046.21,144.599,68.1039,436.066,139.078,371.98,78.6487,646.623,870.304,64.2571,233.067,630.954,35.0928,386.156,120.421,226.46,323.926,166.859,708.877,837.307,80.6875,433.092,101.023,224.859,162.123,513.952,752.616,79.6876,933.892,1232.72,6.91292,357.204,64.7071,385.31,358.05,69.1271,1059.08,647.255,206.57,434.376,490.271,541.534,974.65,84.0007,2022.07,1507.27,49.9811,578.588,168.471,579.464,580.075,91.8278,1065.67,277.828,380.684,1882.21,582.077,72.8926,484.853,330.223,266.393,70.1236,449.647,879.626,200.681,215.515,682.78,12.4187,847.58,158.918,97.3605,219.613,166.05,1078.44,140.006,127.584,535.604,60.7997,285.928,285.887,74.7845,170.748,526.514,272.737,428.02,68.2606,442.193,452.984,5.84149,246.43,201.247,108.569,548.074,239.227,390.278,81.6363,385.541,713.688,134.279,49.7529,384.251,673.896,154.685,222.752,545.356,133.599,561.762,416.331,5.62622,253.875,678.632,279.787,262.632,46.3489,612.156,154.446,110.388,498.758,47.5864,468.912,1331.44,463.313,109.854,200.399,455.722,252.119,9.39441,352.681,382.353,129.992,1245.82,111.986,112.177,384.53,48.2395
8.916462585,794.952,288.518,672.156,561.84,115.109,559.429,8.05618,149.444,852.511,66.8258,157.072,152.846,252.124,340.881,64.7956,477.686,43.812,478.996,642.095,76.8482,174.919,513.484,390.322,149.421,341.211,149.087,228.399,850.824,222.027,2.83576,220.536,583.688,116.014,406.736,135.704,37.0716,747.128,1803.18,135.656,441.121,424.292,696.114,329.078,210.716,548.303,77.753,902.3,8.12497,12.9753,362.397,17.3271,354.444,143.154,327.08,597.775,8.10456,92.775,424.893,92.2037,362.07,53.4143,29.6603,157.917,72.6072,446.954,719.976,108.849,378.627,65.3558,25.5968,264.881,661.273,341.412,156.653,972.679,943.879,33.1227,233.252,35.6831,277.869,100.497,164.804,1158.12,615.906,160.465,173.656,529.371,951.473,828.004,143.343,2594,1225.71,65.5321,630.683,352.209,477.413,345.39,310.765,1145.05,352.518,272.117,1610.45,483.48,29.5272,295.306,173.01,130.849,166.505,413.332,463.702,255.714,162.415,458.947,196.526,787.554,59.2979,30.4861,90.3141,9.5357,1030.41,77.6561,15.5563,461.918,9.54471,116.984,238.761,104.536,56.8689,397.183,37.0003,377.254,103.234,180.054,332.879,23.5523,116.588,61.713,20.183,455.567,26.8725,419.373,107.781,583.337,738.426,159.469,214.154,197.825,513.412,114.809,134.141,351.512,270.232,539.514,257.407,13.1839,158.671,445.883,65.7436,154.524,27.1571,476.579,7.3017,42.9958,505.091,174.738,238.305,1052.32,439.635,155.602,24.1784,351.663,129.031,113.767,185.238,334.998,323.593,1122.16,31.2727,23.523,310.396,91.3809
10.402539683,656.303,517.404,397.582,411.336,232.263,510.637,166.515,28.1637,806.124,400.143,116.948,204.772,505.831,295.021,63.6206,466.378,1.52537,413.948,809.804,135.1,355.266,850.277,517.854,8.29144,334.388,236.243,41.2003,586.945,169.411,6.12801,181.214,357.362,212.017,372.317,58.7641,14.636,618.11,2240.67,658.968,1673.81,609.89,1141.86,995.789,55.1278,460.275,326.813,892.278,52.303,106.212,335.188,65.6767,368.072,237.412,108.748,399.837,68.4804,40.911,310.483,395.585,437.026,128.799,25.8783,149.145,78.3819,482.696,719.097,110.122,472.077,231.019,47.3441,521.371,955.269,121.186,317.437,1129.36,667.575,107.32,146.717,85.1531,235.629,1.24108,354.738,1378.11,784.95,143.262,52.2316,448.696,1570.96,1216.24,178.575,4132.76,1712.53,311.522,1124.64,699.578,337.506,155.181,534.764,1289.13,495.657,165.537,1351.57,557.422,10.7606,208.138,99.3699,65.4289,331.701,427.611,173.517,491.431,166.857,335.262,755.877,831.505,15.0281,15.8717,62.7156,90.1875,1200.35,226.209,19.7324,444.591,82.3984,20.5595,233.732,212.761,67.1307,343.155,21.7967,385.846,229.025,44.4742,253.36,121.024,40.6563,11.7692,14.9391,413.037,217.525,871.035,404.248,1497.37,1112.5,305.849,442.803,156.89,458.257,320.011,112.658,311.423,497.92,519.876,160.712,34.1172,102.044,286.422,0.366394,114.557,40.4124,397.854,59.5409,117.61,647.865,466.589,56.2842,912.778,318.221,332.657,47.7512,368.327,100.646,375.614,116.974,346.262,789.389,1015.57,31.9335,10.3463,253.751,275.04
11.888616780,506.921,677.126,170.317,316.442,257.317,498.617,426.995,96.4372,978.104,886.491,203.034,302.251,1038.73,591.196,140.573,805.992,56.5276,804.488,1117.94,257.535,708.453,1381.2,659.705,31.1431,317.55,296.915,1.43837,439.887,149.025,6.10328,171.347,197.36,274.243,355.052,75.1092,22.5835,607.513,2491.93,2090.65,4187.14,1975.94,2447.44,1768.45,100.132,388.265,661.51,943.972,252.514,313.598,364.677,175.502,396.113,291.531,20.8141,285.616,132.744,30.4008,293.598,899.666,657.419,261.847,157.217,288.375,231.083,1043.36,1025.03,68.3041,848.06,586.637,286.555,853.244,1386.31,159.586,527.669,1268.8,456.729,160.938,92.5691,133.141,271.009,44.3091,507.436,1693.09,1078.04,92.0768,8.61275,393.443,2058.07,2179.92,686.952,7285.1,3838.37,1210.46,1903.62,947.229,263.902,42.5635,637.713,1450.6,648.777,86.4185,1103.66,731.636,7.26974,201.564,76.5763,63.8505,447.369,513.033,103.151,869.678,207.01,369.719,1469.16,1209.27,21.7019,141.888,299.202,562.975,1549.18,467.732,116.284,523.752,225.075,2.19798,254.101,323.98,148.578,345.846,187.592,455.772,322.372,30.0899,239.166,234.648,10.891,0.432069,28.7153,408.368,828.84,1962.7,1554.04,3479.05,1932.68,519.174,569.119,236.574,554.714,698.873,203.029,422.502,652.689,510.735,111.559,46.0596,54.1736,183.32,60.0192,151.788,17.0942,452.027,279.268,262.658,844.249,989.307,116.002,1075.74,114.758,762.411,373.192,468.671,180.472,712.123,210.207,469.645,1312.75,1013.6,39.1346,21.8472,210.133,552.535
