TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
0.046439909,0,0,0,0,0,0,0,0,0,0,0,0
0.092879819,0,0,0,0,0,0,0,0,0,0,0,0
0.139319728,0.159507,0.514292,0.234933,0.501383,0.803394,0.517049,0.617111,0.252574,0.536641,1.81956,0.836053,0.783668
0.185759637,0.529141,0.860592,0.862042,0.323756,0.917673,0.272378,0.877586,0.356122,0.332881,1.33886,1.03003,0.408147
0.232199546,0.6035,0.745885,0.835036,0.407878,0.994375,0.0595016,1.03699,0.433109,0.207129,1.31965,1.12401,0.480658
0.278639456,0.388364,0.635927,0.815038,0.451227,1.04617,0,0.912704,0.543085,0.125338,1.51026,1.23555,0.846334
0.325079365,0.0487452,0.834788,0.766883,0.698148,1.13709,0,0.697066,0.615595,0.210724,1.45432,1.17612,1.39361
0.371519274,0.00963673,1.43421,0.523718,1.09382,1.19435,0,0.684461,0.569666,0.126039,1.3613,1.06367,1.61705
0.417959184,0.371728,1.82893,0.0784872,0.987988,0.625261,0.0727905,1.09536,0.927224,0.230149,0.87829,0.911485,1.56148
0.464399093,0.201439,1.37895,0.240724,1.06102,0.669887,0.00206822,1.84484,1.02541,0.102267,0.529525,0.693929,1.04968
0.510839002,0.0198055,1.10959,0.190913,0.976486,0.534865,0,1.74719,1.03789,0.0925355,0.545354,0.716377,1.4414
0.557278912,0.441507,0.655462,1.00919,0.818397,0.442927,0.262334,0.901077,0.669667,0.785321,0.163619,0.832363,1.53448
0.603718821,1.13066,0.81397,1.05007,0.685749,0.467648,0.300052,0.719223,0.584836,0.62686,0.316338,0.915593,1.11274
0.650158730,1.68224,0.889554,1.18115,0.750232,0.447439,0.0994688,0.709505,1.18473,0.168586,0.310028,0.815834,0.310577
0.696598639,1.72004,0.727905,1.04825,0.446494,0.50325,0,0.653977,1.78524,0.189569,0.420389,0.601301,0
0.743038549,1.59632,0.220271,0.943326,0.346597,0.458893,0,0.361879,1.90496,0.425628,0.594372,0.266417,0.0849954
0.789478458,1.49025,0.167158,1.15916,0.285306,1.22448,0,0.208238,1.725,0.651548,0.642814,0.033334,0.426261
0.835918367,1.38945,0.209311,1.16801,0.1015,2.48429,0,0.287617,1.00027,0.57965,0.4935,0.0554561,0.851209
0.882358277,0.867317,0.0686968,0.831464,0.0968013,3.44931,0.00628522,0.498608,0.275344,1.17869,0.137361,0.0254719,1.71895
0.928798186,0,0,0.393639,0.0214179,3.74985,0.00896423,0.663312,0.0905517,1.64772,0.0712382,0.0029229,2.42653
0.975238095,0.0237665,0.0374462,0.294732,0.0873839,3.81727,0.00220005,0.665227,0.028921,2.09883,0.00939743,0,2.73832
1.021678005,0.386154,0.172724,0.162339,0.0718314,3.80126,0.00561365,0.503967,0.0592447,2.20341,0.00975744,0,2.57227
1.068117914,0.898335,0.236909,0.190996,0.0212707,3.65789,0.015012,0.579437,0.0592664,2.02329,0.0185251,0,1.72291
1.114557823,1.0444,0.564229,0.342412,0,3.25726,0.105394,0.639924,0.052654,1.7231,0.07358,0.000185646,1.27953
1.160997732,0.989345,0.428115,0.391495,0,3.14805,0.32231,0.744742,0.00985907,1.38169,0.0145866,0.000557904,2.27208
1.207437642,0.854226,0.182475,0.374995,0,3.0108,0.516715,1.07113,0.0543112,0.988876,0.0145217,5.23652e-05,2.84243
1.253877551,1.04008,0.219447,0.937334,0.23531,2.16116,0.44323,0.911659,0.293886,0.467349,0.0295488,0.0538238,2.63708
1.300317460,1.02033,0.176068,1.12859,0.503565,0.926217,0.583299,0.590893,0.605304,0.416509,0.0039083,0.0404944,1.88633
1.346757370,0.644195,0.635871,1.37066,0.188341,1.21714,0.720393,0.496039,0.866185,0.475891,0.356504,0.0841436,0.80868
1.393197279,0.0968313,1.26028,1.33175,0.0975958,1.40147,0.538046,0.689559,1.1789,0.216233,0.968887,0.0916492,0.201376
1.439637188,0.230986,1.34916,0.895225,0.178942,1.21229,0.292136,0.615752,1.70034,0.139748,1.60444,0.127316,0.143152
1.486077098,0.247359,1.36205,0.54731,0.193406,1.42587,0.135365,0.29516,1.70247,0.0784369,2.18754,0.138906,0.109153
1.532517007,0.203649,1.60417,0.407629,0.149914,1.76186,0.0242232,0.214159,1.27303,0.00707836,2.90534,0.0363968,0.00926578
1.578956916,0.00623756,1.96031,0.11065,0.121185,2.14963,0.0208159,0.187337,1.09701,0.0123013,3.34111,0.000764129,0
1.625396825,0.00583579,2.20171,0.0247866,0.0320568,2.40404,0,0.0951402,0.950378,0.0627803,3.60497,0.113494,0
1.671836735,0,2.17625,0.175769,0.0294194,2.45723,0,0.00041217,0.824384,0.0235552,3.42668,0.187537,0.0107136
1.718276644,0.122485,2.06943,0.21736,0.030619,2.19437,0,0.0179903,0.685859,0.0148,3.33314,0.244315,0.0632394
